ID_Venda,Data_Venda,ID_Cliente,Nome_Cliente,Email_Cliente,País,Categoria_Produto,Produto,Preço_Unitário,Quantidade,Total_Venda
1,2020-12-15 08:42:21,e4a5ae03-e6d3-4743-9ed5-a534468e14e4,Günter Junck-Dussen van,günter.van@yahoo.com,Republik Korea,Celulares,OnePlus 10 Pro,750.0,4,3000.0
2,2021-03-13 22:40:10,e4a5ae03-e6d3-4743-9ed5-a534468e14e4,Günter Junck-Dussen van,günter.van@yahoo.com,Republik Korea,Celulares,OnePlus 10 Pro,750.0,3,2250.0
3,2022-08-22 07:52:49,e4a5ae03-e6d3-4743-9ed5-a534468e14e4,Günter Junck-Dussen van,günter.van@yahoo.com,Republik Korea,Acessórios,Carregador USB-C,25.0,4,100.0
4,2019-05-10 05:31:04,5d6f8a46-d681-48ff-8b7d-da1d098acb68,Kristin Gierschner,kristin.gierschner@yahoo.com,Botsuana,Acessórios,Power Bank 10000mAh,30.0,4,120.0
5,2024-08-28 16:53:30,5d6f8a46-d681-48ff-8b7d-da1d098acb68,Kristin Gierschner,kristin.gierschner@yahoo.com,Botsuana,Acessórios,Fone de Ouvido Bluetooth,50.0,3,150.0
6,2023-01-31 06:52:50,5d6f8a46-d681-48ff-8b7d-da1d098acb68,Kristin Gierschner,kristin.gierschner@yahoo.com,Botsuana,Acessórios,Smartwatch,150.0,1,150.0
7,2020-09-20 04:21:41,e4a5ae03-e6d3-4743-9ed5-a534468e14e4,Günter Junck-Dussen van,günter.van@yahoo.com,Republik Korea,Acessórios,Power Bank 10000mAh,30.0,2,60.0
8,2022-04-18 17:18:48,d7a53545-7e87-4c72-b28a-9ce8823d9e45,Ярослав Жанович Рогов,ярослав.рогов@gmail.com,Греция,Celulares,Xiaomi 12,599.0,2,1198.0
9,2022-06-17 13:19:09,ce146c5c-bc44-4e46-a629-edf93a57eb33,Dr. Imelda Rohleder B.Eng.,dr..b.eng.@gmail.com,Tansania,Celulares,Samsung Galaxy S22,799.0,2,1598.0
10,2020-09-28 03:27:23,5d6f8a46-d681-48ff-8b7d-da1d098acb68,Kristin Gierschner,kristin.gierschner@yahoo.com,Botsuana,Acessórios,Smartwatch,150.0,3,450.0
11,2019-03-21 01:32:27,36d50921-b141-4672-a6f5-c18d65201f2e,Samuel Monteiro,samuel.monteiro@yahoo.com,Timor Leste,Celulares,iPhone 13,850.0,2,1700.0
12,2020-08-18 17:55:24,d7a53545-7e87-4c72-b28a-9ce8823d9e45,Ярослав Жанович Рогов,ярослав.рогов@gmail.com,Греция,Acessórios,Fone de Ouvido Bluetooth,50.0,4,200.0
13,2019-11-12 18:11:12,e33f7bf8-2bee-4285-8641-688ed6bcd0fb,Miguel Knappe,miguel.knappe@hotmail.com,Türkei,Celulares,Samsung Galaxy S22,799.0,4,3196.0
14,2024-09-04 05:13:54,e4a5ae03-e6d3-4743-9ed5-a534468e14e4,Günter Junck-Dussen van,günter.van@yahoo.com,Republik Korea,Celulares,Samsung Galaxy S22,799.0,2,1598.0
15,2023-03-27 01:23:41,e33f7bf8-2bee-4285-8641-688ed6bcd0fb,Miguel Knappe,miguel.knappe@hotmail.com,Türkei,Celulares,Xiaomi 12,599.0,3,1797.0
16,2020-12-20 19:48:07,d7a53545-7e87-4c72-b28a-9ce8823d9e45,Ярослав Жанович Рогов,ярослав.рогов@gmail.com,Греция,Celulares,iPhone 13,850.0,1,850.0
17,2021-07-25 21:56:11,e33f7bf8-2bee-4285-8641-688ed6bcd0fb,Miguel Knappe,miguel.knappe@hotmail.com,Türkei,Acessórios,Capa de Silicone,15.0,2,30.0
18,2019-12-15 11:51:06,ef19c87a-b603-43db-a65b-d81b0e9e1d8e,Prof. Gabor Schuster B.A.,prof..b.a.@yahoo.com,China,Celulares,Xiaomi 12,599.0,3,1797.0
19,2022-01-05 07:50:00,d7a53545-7e87-4c72-b28a-9ce8823d9e45,Ярослав Жанович Рогов,ярослав.рогов@gmail.com,Греция,Acessórios,Smartwatch,150.0,2,300.0
20,2019-05-05 12:16:11,e4a5ae03-e6d3-4743-9ed5-a534468e14e4,Günter Junck-Dussen van,günter.van@yahoo.com,Republik Korea,Acessórios,Capa de Silicone,15.0,1,15.0
21,2024-07-28 06:10:36,d7a53545-7e87-4c72-b28a-9ce8823d9e45,Ярослав Жанович Рогов,ярослав.рогов@gmail.com,Греция,Acessórios,Capa de Silicone,15.0,1,15.0
22,2021-06-24 21:03:03,5d6f8a46-d681-48ff-8b7d-da1d098acb68,Kristin Gierschner,kristin.gierschner@yahoo.com,Botsuana,Acessórios,Capa de Silicone,15.0,5,75.0
23,2021-06-20 13:09:33,d7a53545-7e87-4c72-b28a-9ce8823d9e45,Ярослав Жанович Рогов,ярослав.рогов@gmail.com,Греция,Acessórios,Power Bank 10000mAh,30.0,4,120.0
24,2020-06-04 23:35:23,ce146c5c-bc44-4e46-a629-edf93a57eb33,Dr. Imelda Rohleder B.Eng.,dr..b.eng.@gmail.com,Tansania,Celulares,iPhone 13,850.0,5,4250.0
25,2022-12-11 05:45:56,9aad8dc4-3800-447e-8bd4-10a95030beb6,Georges Thibault,georges.thibault@gmail.com,Laos,Celulares,Xiaomi 12,599.0,4,2396.0
26,2023-08-21 15:30:51,ef19c87a-b603-43db-a65b-d81b0e9e1d8e,Prof. Gabor Schuster B.A.,prof..b.a.@yahoo.com,China,Acessórios,Carregador USB-C,25.0,1,25.0
27,2024-12-05 11:21:54,e33f7bf8-2bee-4285-8641-688ed6bcd0fb,Miguel Knappe,miguel.knappe@hotmail.com,Türkei,Celulares,Google Pixel 6,699.0,5,3495.0
28,2023-07-26 23:08:26,9aad8dc4-3800-447e-8bd4-10a95030beb6,Georges Thibault,georges.thibault@gmail.com,Laos,Celulares,Samsung Galaxy S22,799.0,1,799.0
29,2020-11-15 12:46:45,9ed5b99c-1b4a-4e6c-a442-375e5c019f83,Davi Cirino,davi.cirino@gmail.com,Tailândia,Celulares,Samsung Galaxy S22,799.0,4,3196.0
30,2023-11-02 13:53:22,36d50921-b141-4672-a6f5-c18d65201f2e,Samuel Monteiro,samuel.monteiro@yahoo.com,Timor Leste,Acessórios,Power Bank 10000mAh,30.0,4,120.0
31,2022-06-27 23:30:56,e4a5ae03-e6d3-4743-9ed5-a534468e14e4,Günter Junck-Dussen van,günter.van@yahoo.com,Republik Korea,Celulares,Google Pixel 6,699.0,3,2097.0
32,2020-12-16 03:57:24,d1380a1e-558e-4279-aa27-3d54da4d116f,Frau Margareta Kallert B.A.,frau.b.a.@yahoo.com,Réunion,Celulares,Google Pixel 6,699.0,1,699.0
33,2023-07-26 05:11:18,e33f7bf8-2bee-4285-8641-688ed6bcd0fb,Miguel Knappe,miguel.knappe@hotmail.com,Türkei,Celulares,iPhone 13,850.0,1,850.0
34,2019-12-26 04:11:57,e4a5ae03-e6d3-4743-9ed5-a534468e14e4,Günter Junck-Dussen van,günter.van@yahoo.com,Republik Korea,Celulares,iPhone 13,850.0,2,1700.0
35,2020-11-12 11:32:00,3902904f-632c-466b-bdc5-cf92c513be82,Aaron Pineda,aaron.pineda@yahoo.com,Congo,Celulares,iPhone 13,850.0,5,4250.0
36,2024-11-12 00:06:04,36d50921-b141-4672-a6f5-c18d65201f2e,Samuel Monteiro,samuel.monteiro@yahoo.com,Timor Leste,Celulares,iPhone 13,850.0,2,1700.0
